MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
OAS30027_MR_d1300,1606186.0209081173,617078.3572471861,520088.8691318917,2794.6832924288783,2990.551506616311
OAS30027_MR_d2394,1600545.60476017,580258.4292688656,514746.0004473451,2467.683064738834,2498.9534873550037
OAS30028_MR_d0043,1474119.9330141544,643086.6524932197,502336.0545085264,4433.227190767631,4020.946762742196
OAS30028_MR_d1260,1456380.0738594532,633310.8228869648,495001.5627162482,4402.524542894041,3983.111665928845
OAS30028_MR_d1847,1444230.3249185083,637701.5417575908,495943.53512695176,4398.588840303639,4074.7744575288816
OAS30029_MR_d0131,1505994.036103487,623356.8038331904,529869.6152201456,3207.521361165044,3284.433507480724
OAS30029_MR_d0893,1507739.0326051712,611844.4765455975,527493.7356324126,3082.4402712945384,3260.747585449423
OAS30030_MR_d0170,1483567.1898988483,662329.2941779948,511634.6008017197,3586.6607439801937,3110.495625053504
OAS30032_MR_d0262,1302211.25,692432.6986116885,505342.5567472252,4458.416405172356,3977.983602890852
OAS30032_MR_d1661,1303628.864853382,698015.5366527388,525064.3704065657,4585.207271711924,4143.140637621038
OAS30032_MR_d3499,1289783.3849830627,677184.024611873,522385.546727204,4455.916649609547,4178.738455431298
OAS30033_MR_d0133,1280965.3054058552,609699.0003630077,490814.8622327698,4090.291303821728,4162.853786012889
OAS30033_MR_d1267,1269856.1192975044,581427.1483178381,481565.63667949225,3770.228703457248,4145.224569123695
OAS30034_MR_d0044,1328157.908173442,651176.9125996779,522807.20669983054,3627.345644665938,3546.594405915584
OAS30035_MR_d2218,1261514.8194240928,636610.6441688855,456823.0154647143,3834.819506990393,3388.198494352435
OAS30035_MR_d3850,1257252.8267911077,598204.5249372642,452889.3502113732,3659.011099578049,3234.7614445756826
OAS30036_MR_d0059,1505647.3846138716,648934.459492219,460581.5897330653,3626.1705085315375,3357.3894048347256
OAS30037_MR_d0154,1415076.2408935428,715706.8767282628,483756.3185607568,4006.813763491316,3761.251154530813
OAS30038_MR_d1214,1510368.75,682935.2269106468,489883.8363148073,3731.530793390687,3706.677591151168
OAS30038_MR_d2242,1490587.9092121124,680380.6964250254,509111.750830547,3757.7956022605904,3807.682089704438
OAS30038_MR_d3376,1480380.8234405518,667682.1757057628,505824.0159310017,3783.687205481821,3884.147626561757
OAS30038_MR_d4495,1473539.2158174517,663538.2057433315,499011.0788003,3640.178210900997,3871.146596450032
OAS30039_MR_d0103,1371601.469735384,631856.3224487293,467707.9754792285,3870.2547937446543,3583.569253467272
OAS30040_MR_d2899,1335022.5,635503.7836440959,450889.6104747298,3355.355434084444,3202.7175571947287
OAS30040_MR_d4230,1323042.5334910154,632505.6743930118,472120.306957641,3223.055230758649,3041.4746543778806
OAS30040_MR_d5108,1321126.3623538015,616304.6239414319,477292.661400444,3201.773641232769,2871.638089990039
OAS30041_MR_d6548,1250090.0,579229.8454511275,483345.2391427817,3827.8343959234935,3185.8106216352426
OAS30042_MR_d0067,1369467.0543808937,669716.7177743684,509198.5773019422,4136.936150137727,3908.3453386072074
OAS30043_MR_d0145,1443576.2140607834,598139.7636431649,498602.0241344436,2986.6373876058133,2933.1453746934703
OAS30044_MR_d0054,1195881.9307972789,658462.2408713895,489807.37246034935,4529.573545238121,4460.21893446098
OAS30044_MR_d0061,1193383.7944328785,656602.7683789603,492539.6493386651,4564.995386035066,4408.243617348508
OAS30044_MR_d1319,1179153.0238924026,649425.1746731811,486258.6657368876,4437.162936230138,4310.895621736906
OAS30046_MR_d0072,1417770.4224042892,635394.8470972602,485022.1616573704,4230.196280904297,3770.260776828866
OAS30046_MR_d0848,1416909.5874119997,630400.6766871127,483557.7805961311,4170.193725329115,3708.969491912997
OAS30046_MR_d1968,1391247.7018725872,630504.5214462872,475928.059831807,4249.161673486815,3744.2564439604503
OAS30048_MR_d0983,1400558.75,678884.5701760101,494463.9148482704,3597.82301170872,3236.6368065602387
OAS30048_MR_d2292,1359472.2707218528,674918.7074697327,517802.8177095096,3734.167578171835,3229.266046475362
OAS30048_MR_d3367,1359951.9727127552,667544.8968381949,514176.0769321837,3681.331165608172,3233.388555911205
OAS30048_MR_d3375,1350875.3489041328,671908.2518947441,515776.9686070295,3666.8115927708222,3199.0988231341585
OAS30048_MR_d3731,1349561.898844242,674686.7946549559,510326.5382827413,3817.463378930397,3271.5052965787368
OAS30048_MR_d4459,1354336.39867419,670130.5284267404,503116.0616122527,3825.395524465405,3237.2792376513744
OAS30049_MR_d0013,1426776.0235070586,614807.8223747336,501091.6827343268,3495.8742734508987,2684.04567210479
OAS30049_MR_d1633,1398317.035029173,609032.9444580742,490930.9331956153,3433.1980018156632,2711.066096065967
OAS30050_MR_d0110,1312406.3403271437,650111.6344066522,486100.7810827265,3981.396043459014,3589.1402756305392
OAS30050_MR_d1530,1281675.707633257,642558.6745666648,476000.4436718953,4070.314705015472,3622.0290386379897
OAS30051_MR_d0200,1393535.338774443,668784.058119734,491928.4884434356,3888.1421878285246,3624.4175791529033
OAS30051_MR_d1286,1389145.1078853607,647962.3161447116,494810.8248580413,3866.489674157174,3549.429285541516
OAS30052_MR_d0693,1296995.0922698977,669871.4795465198,506778.8081961954,3975.79938812267,3935.0049961757663
OAS30052_MR_d1296,1287712.67531991,662111.7491972152,513325.47439048544,3964.494973615851,3888.980783642216
OAS30052_MR_d2709,1276556.4235841632,665668.4294674702,497347.2759361632,4018.128308189073,3899.387967885744
OAS30052_MR_d2737,1268291.3085193634,659879.8292476541,498609.9849707625,3979.2958570664778,3843.8432749424296
OAS30053_MR_d0428,1407122.8193491695,673620.5738651507,485239.12943057664,4258.114950697344,4030.4734831660303
OAS30056_MR_d3491,1151855.3540494442,715338.062249252,452390.2618788807,4190.977589991168,4128.00521022855
OAS30057_MR_d0075,1643127.401516676,595642.523544804,461883.9905081518,3361.969729095634,3037.8544718676862
OAS30058_MR_d1316,1436277.5519946218,638641.1053516538,464163.9507479365,3488.666942842124,3370.187671666835
OAS30058_MR_d2236,1426015.6851031184,620953.6829453184,453640.89819280105,3532.835116502656,3260.075777391465
OAS30058_MR_d3235,1423179.8482807877,616461.4781415408,453158.5345202536,3412.2763194229256,3267.5861574685964
OAS30059_MR_d0230,1394673.75,658085.8874700983,497619.2729661686,4067.9943965389753,4014.164603011995
OAS30059_MR_d1188,1400383.162036657,675315.1631050297,549570.0971017992,3922.225729191809,3833.3859378771294
OAS30060_MR_d0074,1094489.6961507795,640098.2742615726,460641.4323409668,4288.087215209304,3876.5249139323614
OAS30061_MR_d0035,1450684.2555021048,622314.5866349209,455492.37570233765,3870.989755916318,3724.114921785549
OAS30062_MR_d0087,1205322.5,678614.4579562731,489842.6769599008,4398.594567014223,4134.619572769943
OAS30062_MR_d1134,1192280.2893451452,672169.480181266,514341.6442935852,4540.859076006412,4346.559242326263
OAS30062_MR_d1745,1187830.4335980415,677560.0906189517,511141.23137045593,4474.80323379336,4252.0863658214
OAS30062_MR_d3432,1187562.867450714,653032.2576299047,504834.4426068827,4249.42992546086,4141.0568188325005
OAS30062_MR_d3469,1180838.9560990334,658519.8706678997,505897.9401034521,4362.0451950990655,4180.39422917323
OAS30063_MR_d0160,1196557.6433979273,584417.9889315855,489505.9662799463,3482.5056537167443,3401.2392211660444
OAS30064_MR_d0687,1460058.3481049538,573534.5445180945,483619.5205943874,3304.53995663186,2709.0567634984363
OAS30065_MR_d0548,1578336.5853059292,655351.2066551355,504991.5987150976,3934.848859237295,3526.233423935426
OAS30065_MR_d2009,1557795.7774620056,646534.6537198637,502248.3016746756,3743.384928605213,3438.277613638701
OAS30066_MR_d0524,1491617.8882361054,607407.8200829836,494574.96911078616,3519.345731925201,3324.7319526877136
OAS30066_MR_d2006,1481573.9171369076,596764.9377479339,484924.7380223673,3541.7501934818915,3312.4189696041976
