MRID,MUSE_702,MUSE_601,MUSE_604,MUSE_47,MUSE_48
727_20110804,1507005.0,654264.106622075,535099.1005338402,4058.453687943968,3454.9520406368924
727_20171122,1500884.047825396,631361.5681926754,513099.0007908657,3656.730986410036,3152.7156941195444
73_20080215,1144051.2454605105,654552.7053334675,456912.55076695856,3944.823448461047,3634.33734434263
73_20090403,1142925.645415783,648449.9988450692,456252.9949456028,3963.7225730178766,3640.9194089274056
73_20101215,1140754.845329523,648831.0476537114,461053.3762382592,3927.6415930925737,3584.668677265264
73_20120321,1142725.2454078195,643815.4264909885,455424.4957580354,3838.2771290945543,3551.457515770197
73_20130927,1140263.2099199295,637060.1421150559,454310.06213324127,3748.758177088157,3443.259216851748
73_20150506,1141500.7544631958,624167.4664939811,452248.2278524925,3710.119453727581,3450.050302392543
732_20130211,1382559.6549379826,639504.8401530031,465395.1323328123,3800.481368036503,3512.5285014837705
733_20130206,1611099.6640193462,597723.2841470508,504752.93520028185,3333.7976125125983,3122.905622967072
733_20141029,1609629.3412127497,584807.3290123262,500759.1657385,3328.3234701652204,2936.0034711194803
733_20160420,1612367.9012761116,583440.0681133814,498679.3506008297,3256.6710477939805,2875.66182063377
736_20080201,1269307.2504377365,649905.1198953256,502641.97981387016,4103.072920408866,3934.0830966687968
736_20090917,1265500.8502864838,645917.9923078674,469244.0052191196,4061.1748329199,3868.624974397487
736_20110219,1253863.249824047,632635.3305528067,469663.2359893807,4068.759654163229,3751.2513326812687
736_20121208,1254237.6498389244,650305.1000862995,430872.4662695489,4078.490391294281,3834.957586983519
737_20080130,1578757.2627341747,632722.0474433941,520725.7734121498,3804.258184855784,3678.174199300564
737_20120922,1566375.662242174,643212.0418627564,471581.98072033306,3778.4577338921777,3562.639765328316
737_20140119,1572910.3937379122,633861.7625360574,467848.7120820836,3694.027658783956,3539.1097829578134
74_20080404,1502125.2596890926,607387.0939652701,481215.629695847,3243.221004480852,3291.201026385817
740_20071105,1517882.4603152275,610179.0968786514,489191.7239438312,3688.894475619455,3216.3361272256666
740_20090513,1517214.0602886677,604226.1645357873,488439.0811052363,3502.770209080591,3031.134698203417
740_20110209,1511128.8600468636,579294.2520849315,475631.0223192093,3382.877753372181,2904.8007026270693
740_20120511,1511510.460062027,564264.3729080528,477229.7696396928,3265.089012950225,2851.844089197137
740_20131022,1508512.8576555252,543808.4245226284,470661.94041486224,3179.441122845424,2636.831671826724
741_20120507,1380790.164602995,658333.9754778062,520909.8559520275,3735.549938803149,3534.635969263971
741_20140317,1392535.0269470215,653337.8057439885,491111.4845301125,3664.808763512023,3489.824619457313
747_20121003,1314495.2010220883,558706.007993633,492196.6239270664,3235.883271774089,2857.20504343246
75_20071210,1635412.864985466,611806.8172145896,525810.2247946206,3810.971761991834,3185.603047744276
75_20090603,1627275.6646621227,607757.6189306839,529532.0276417836,3833.192115705539,3208.91433510095
75_20110615,1632979.2648887634,605433.1077823894,517364.3020070311,3735.736499276904,3112.5883293553284
75_20120622,1630635.6647956371,602319.0564464557,521919.4871006128,3732.686812430687,3072.863121595039
75_20180226,1648957.0,580504.9494923154,529001.0594575844,3570.32354391291,2920.7796200871217
752_20130919,1332561.492919922,622830.8399389676,555170.25789885,4437.49767407242,3551.2262290201325
752_20170823,1321359.0,622483.7913087965,541661.5015298644,4370.000885452023,3411.1547278218864
753_20130319,1393276.0404400826,575068.1813826015,518606.43989278254,3575.5970747921224,3501.207428560477
757_20080125,1705658.4677767754,623402.9838565565,537124.017329613,3569.5119257173656,3461.863172602439
757_20090820,1701032.4675929546,624839.082430176,529405.6762234512,3438.9962237050863,3348.2043022813677
757_20110219,1689368.467129469,615662.8287826385,508119.8061950253,3402.8101863394627,3298.186470162458
757_20130320,1691589.6672177317,605378.6166573735,502925.1988780257,3252.2640243236297,3229.946554412488
